name,lat,lon,source
AAALL,42.12019,-71.14176,faa-nasr
AADMS,42.58543,-71.31892,faa-nasr
AALYS,44.67318,-69.06966,faa-nasr
AASUM,43.66647,-70.23261,faa-nasr
ABAGU,52.50333,-7.64667,ie-aip
ABSUN,54.29228,-6.25493,uk-aip
ACADN,44.66667,-64.0,faa-nasr
ACCOW,44.70258,-71.24414,faa-nasr
ACOPA,42.30964,-71.39743,faa-nasr
ACTON,46.04272,-67.78101,faa-nasr
ACUGO,44.13311,-70.40526,faa-nasr
ACUHA,44.30907,-68.71431,faa-nasr
ACYOG,44.54689,-69.21524,faa-nasr
ADARA,51.5,-15.0,ie-aip
ADASI,59.22088,-6.29207,uk-aip
ADBUS,54.41667,-12.5,ie-aip
ADDDA,42.60563,-70.78207,faa-nasr
ADHAV,51.91469,-5.23014,uk-aip
ADHER,41.78869,-70.46523,faa-nasr
ADICE,43.32381,-71.21865,faa-nasr
ADILE,44.48362,-69.0666,faa-nasr
ADMUP,52.8,-6.23333,ie-aip
ADODO,58.5,-10.0,uk-aip
ADRUD,49.17056,-6.44861,uk-aip
ADVAT,45.0,-9.46978,uk-aip
AFHAS,41.19341,-70.34603,faa-nasr
AGFAR,44.02453,-70.22429,faa-nasr
AGINI,53.15556,-8.57944,ie-aip
AGIXE,44.52047,-70.44255,faa-nasr
AGORI,57.0,-13.0,uk-aip
AGZAF,47.32341,-68.42955,faa-nasr
AHHOT,47.24723,-68.19537,faa-nasr
AHIZI,46.33593,-68.14185,faa-nasr
AHOLA,46.06018,-67.8468,faa-nasr
AHRON,43.67892,-70.2108,faa-nasr
AIMME,43.66831,-70.66704,faa-nasr
AJJAY,43.72793,-69.60228,faa-nasr
AKIGO,53.84167,-7.93472,ie-aip
AKIVO,59.96433,-9.5,uk-aip
AKMUY,45.26018,-67.65997,faa-nasr
AKOPE,41.87151,-70.66394,faa-nasr
AKUDE,45.40713,-68.57579,faa-nasr
AKYAK,47.07054,-68.08187,faa-nasr
ALAAN,44.38476,-68.30833,faa-nasr
ALBOW,41.03446,-71.97519,faa-nasr
ALCIE,44.13443,-68.7107,faa-nasr
ALENE,43.53645,-70.43118,faa-nasr
ALFFF,42.34368,-70.97689,faa-nasr
ALICV,46.12266,-67.84903,faa-nasr
ALIEH,43.72302,-70.80636,faa-nasr
ALLEX,44.41667,-67.0,faa-nasr
ALLEY,41.69898,-71.39759,faa-nasr
ALLPO,44.60147,-70.14644,faa-nasr
ALLRY,50.5,-52.0,faa-nasr
ALNIC,45.15723,-68.39611,faa-nasr
ALOCO,44.37777,-71.27573,faa-nasr
ALOTY,41.87746,-70.37524,faa-nasr
ALSOP,56.86667,-62.16667,faa-nasr
ALUTA,49.00518,-7.49812,uk-aip
AMCON,55.57532,-6.64374,uk-aip
AMDEP,51.56667,-11.21667,ie-aip
AMLAD,56.26455,-10.0,uk-aip
